행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수,인구_65-69,인구_70-74,인구_75-79,인구_80-84,인구_85이상,인구_60대,인구_70대,인구_80세이상,비율_65-69세,비율_70-74세,비율_75-79세,비율_80-84세,비율_85세이상,비율_70대,비율_80세이상,요양수요가속도
1147067000,신정6동,양천구,양천구,2023,24069,3059,12.71,403.0,288.0,13.17,1.0,13,0.96,1.674,1529.5,0.98,1.2189,248.5743,1.3794,1298,778,436,289,256,1298,1214,547,42.46,25.45,14.26,9.45,8.37,39.69,17.88,33.6
1147068000,신정7동,양천구,양천구,2023,28360,5347,18.85,1626.0,1085.0,30.41,0.0,13,0.96,5.732,5347.0,1.4,1.2409,473.9352,1.6183,1903,1345,864,693,536,1903,2209,1235,35.63,25.18,16.18,12.98,10.04,41.31,23.1,40.45
1150051000,염창동,강서구,강서구,2023,41420,4700,11.35,681.0,566.0,14.49,2.0,21,0.875,1.645,1566.67,0.58,1.2154,238.0158,1.3915,1869,1233,739,528,329,1869,1972,859,39.78,26.25,15.73,11.24,7.0,41.96,18.28,18.5
1150052000,등촌제1동,강서구,강서구,2023,24757,3082,12.45,835.0,649.0,27.09,5.0,21,0.875,3.373,513.67,0.41,1.2752,145.5617,1.6207,1022,666,491,449,447,1022,1157,903,33.24,21.66,15.97,14.6,14.54,37.54,29.3,25.2
1150053000,등촌제2동,강서구,강서구,2023,19655,3384,17.22,604.0,414.0,17.85,1.0,21,0.875,3.074,1692.0,1.26,1.2203,179.5433,1.4381,1319,909,541,341,273,1319,1450,615,38.99,26.87,15.99,10.08,8.07,42.85,18.17,37.77
1150053500,등촌제3동,강서구,강서구,2023,29671,7116,23.98,3055.0,1961.0,42.93,8.0,21,0.875,10.295,790.67,1.73,1.2608,299.0618,1.8021,2520,1580,1173,933,904,2520,2753,1843,35.44,22.22,16.5,13.12,12.71,38.69,25.9,44.33
1150054000,화곡제1동,강서구,강서구,2023,51751,8777,16.96,2261.0,1506.0,25.76,6.0,21,0.875,4.369,1253.86,0.64,1.2156,381.0472,1.5287,3221,2360,1609,999,584,3221,3969,1587,36.71,26.9,18.34,11.39,6.66,45.22,18.08,40.64
1150055000,화곡제2동,강서구,강서구,2023,17472,3076,17.61,802.0,441.0,26.07,0.0,21,0.875,4.591,3076.0,1.31,1.2099,169.166,1.5253,1177,804,570,347,178,1177,1374,525,38.26,26.14,18.53,11.28,5.79,44.67,17.07,59.81
1150056000,화곡제3동,강서구,강서구,2023,21388,4332,20.25,850.0,622.0,19.62,2.0,21,0.875,3.973,1444.0,1.09,1.2135,219.0368,1.4516,1629,1163,767,492,279,1629,1930,773,37.62,26.86,17.71,11.36,6.44,44.55,17.84,31.23
1150057000,화곡제4동,강서구,강서구,2023,20135,4069,20.21,1051.0,668.0,25.83,3.0,21,0.875,5.22,1017.25,1.31,1.224,199.2182,1.5402,1497,1036,752,472,312,1497,1788,784,36.79,25.46,18.48,11.6,7.67,43.94,19.27,45.32
1150059000,화곡본동,강서구,강서구,2023,33616,5198,15.46,1427.0,934.0,27.45,5.0,21,0.875,4.244,866.33,0.95,1.2174,234.372,1.5516,1999,1326,928,567,374,1999,2254,945,38.49,25.53,17.87,10.92,7.2,43.36,18.18,42.39
