행정동코드,행정동명,자치구명,D1_수급자비율,D2_시설부족,D3_미충족의료율,D4_수급비율(2024),D1_수급자비율_z,D2_시설부족_z,D3_미충족의료율_z,D4_수급비율(2024)_z,IMD_score,위험등급
1168066000,개포1동,강남구,0.07077361346034007,-41.0958904109589,3.1,0.04169148302561048,-1.2109674224095743,-0.8081490842383143,-0.5067285436982221,-0.7298756769410236,0.44780284066727527,저위험
1168067000,개포2동,강남구,0.07077361346034007,-27.188825143427287,3.1,0.018707907208780246,-1.2109674224095743,-0.24004651287324974,-0.5067285436982221,-1.1471987589451416,0.500141319698893,저위험
1168069000,개포4동,강남구,0.07077361346034007,-19.519094766619517,3.1,0.06082036775106082,-1.2109674224095743,0.07326139680585722,-0.5067285436982221,-0.38254394785991386,0.6454162275803662,저위험
1168052100,논현1동,강남구,0.07077361346034007,-12.329223592135955,3.1,0.0753082305898034,-1.2109674224095743,0.36696709412100675,-0.5067285436982221,-0.1194813322033207,0.7783022240708941,저위험
1168053100,논현2동,강남구,0.07077361346034007,-11.5625,3.1,0.035,-1.2109674224095743,0.39828769525715185,-0.5067285436982221,-0.8513759318048089,0.6976720582792357,저위험
1168060000,대치1동,강남구,0.07077361346034007,-10.705057216685123,3.1,0.0011074197120708748,-1.2109674224095743,0.43331416853738103,-0.5067285436982221,-1.466778694871521,0.6717121479067172,저위험
1168061000,대치2동,강남구,0.07077361346034007,-3.7105751391465676,3.1,0.006122448979591836,-1.2109674224095743,0.7190382359215698,-0.5067285436982221,-1.3757185618903798,0.8036346696885436,저위험
1168063000,대치4동,강남구,0.07077361346034007,-9.532888465204957,3.1,0.0548141086749285,-1.2109674224095743,0.48119717397234824,-0.5067285436982221,-0.4916022845148771,0.7668201899632328,저위험
1168065500,도곡1동,강남구,0.07077361346034007,-2.9230269568041574,3.1,0.00974342318934719,-1.2109674224095743,0.7512095200031333,-0.5067285436982221,-1.3099709110846256,0.8238446145055898,저위험
1168065600,도곡2동,강남구,0.07077361346034007,-1.743510267338241,3.1,0.004068190623789229,-1.2109674224095743,0.7993926881527806,-0.5067285436982221,-1.4130186510979297,0.844717421108172,저위험
1168058000,삼성1동,강남구,0.07077361346034007,-8.064516129032258,3.1,0.014336917562724014,-1.2109674224095743,0.5411800735887458,-0.5067285436982221,-1.2265647760104461,0.7281564504651958,저위험
1168059000,삼성2동,강남구,0.07077361346034007,-4.578987534978377,3.1,0.038921394047316205,-1.2109674224095743,0.6835636547941517,-0.5067285436982221,-0.7801734234301005,0.82688493245117,저위험
1168070000,세곡동,강남구,0.07077361346034007,-2.014388489208633,3.1,0.09309352517985611,-1.2109674224095743,0.7883273331399844,-0.5067285436982221,0.20345422890448897,1.0350428048155678,중위험
1168075000,수서동,강남구,0.07077361346034007,-5.02815768302494,3.1,0.3704746580852776,-1.2109674224095743,0.6652150879918208,-0.5067285436982221,5.239987716836259,38.459772695092795,고위험
1168051000,신사동,강남구,0.07077361346034007,-7.784625364904314,3.1,0.15828738241972104,-1.2109674224095743,0.5526135902756665,-0.5067285436982221,1.3872082995462747,1.4751672275164691,중위험
1168054500,압구정동,강남구,0.07077361346034007,-4.50281425891182,3.1,0.004690431519699813,-1.2109674224095743,0.6866753273987051,-0.5067285436982221,-1.4017203444071034,0.785997645019868,저위험
1168064000,역삼1동,강남구,0.07077361346034007,-12.48642779587405,3.1,0.07057546145494029,-1.2109674224095743,0.36054531420878366,-0.5067285436982221,-0.20541634151239138,0.7613779572993213,저위험
1168065000,역삼2동,강남구,0.07077361346034007,-11.737688185761675,3.1,0.028068384792038787,-1.2109674224095743,0.3911312710303708,-0.5067285436982221,-0.9772363742749804,0.6849216053409743,저위험
1168073000,일원1동,강남구,0.07077361346034007,-19.04482859654263,3.1,0.20128918839730442,-1.2109674224095743,0.09263513422270642,-0.5067285436982221,2.16801135409826,2.2624306934354967,고위험
1168072000,일원본동,강남구,0.07077361346034007,-19.028103044496486,3.1,0.010245901639344262,-1.2109674224095743,0.09331837176722975,-0.5067285436982221,-1.3008471847739498,0.5689015026809852,저위험
1168056500,청담동,강남구,0.07077361346034007,-2.865329512893983,3.1,0.013805678562125553,-1.2109674224095743,0.7535664562521555,-0.5067285436982221,-1.236210720522187,0.8292259957816441,저위험
1174055000,고덕제1동,강동구,0.0974046538281733,-5.946481665014866,3.5,0.04327717211760819,1.634462433691996,0.6277016223196145,-0.29751154851193234,-0.7010836097602406,2.2912109131348615,고위험
1174056000,고덕제2동,강동구,0.0974046538281733,-5.644402634054563,3.5,0.05707118218877391,1.634462433691996,0.6400415280396711,-0.29751154851193234,-0.4506195896281188,2.325262946658346,고위험
1174068500,길동,강동구,0.0974046538281733,-8.761682242990654,3.5,0.06226635514018691,1.634462433691996,0.5127008902104218,-0.29751154851193234,-0.3562885070800112,2.281179268288865,고위험
1174070000,둔촌제2동,강동구,0.0974046538281733,-24.982488909642775,3.5,0.04132617324305393,1.634462433691996,-0.1499178434813525,-0.29751154851193234,-0.7365087703098595,2.034627577099916,고위험
1174053000,명일제1동,강동구,0.0974046538281733,-9.508348794063078,3.5,0.030148423005565864,1.634462433691996,0.48219961769487124,-0.29751154851193234,-0.9394681886421856,2.2067517871992863,고위험
1174054000,명일제2동,강동구,0.0974046538281733,-14.57000710732054,3.5,0.015991471215351813,1.634462433691996,0.2754312558718808,-0.29751154851193234,-1.1965223041532087,2.113399735076618,고위험
1174064000,성내제1동,강동구,0.0974046538281733,-26.674937965260543,3.5,0.02729528535980149,1.634462433691996,-0.21905426025258729,-0.29751154851193234,-0.9912738869896315,1.9987166577601265,고위험
1174065000,성내제2동,강동구,0.0974046538281733,-19.08142888839583,3.5,0.09030397159973375,1.634462433691996,0.09114001505021936,-0.29751154851193234,0.15280305492050797,2.2305510877395918,고위험
1174066000,성내제3동,강동구,0.0974046538281733,-20.82828772099782,3.5,0.0506175829498668,1.634462433691996,0.019780962976890915,-0.29751154851193234,-0.5678004820124954,2.0920250097689332,고위험
1174057000,암사제1동,강동구,0.0974046538281733,-7.103393843725335,3.5,0.09976322020520915,1.634462433691996,0.5804418467360896,-0.29751154851193234,0.3245588692872811,2.4470673844328488,고위험
1174058000,암사제2동,강동구,0.0974046538281733,-17.619420516836335,3.5,0.022317932654659357,1.634462433691996,0.1508629471902811,-0.29751154851193234,-1.08164990974978,2.0821928522907887,고위험
1174059000,암사제3동,강동구,0.0974046538281733,-15.767344078486335,3.5,0.012263489838822705,1.634462433691996,0.22652013055360018,-0.29751154851193234,-1.2642129320218205,2.093725665389952,고위험
1174060000,천호제1동,강동구,0.0974046538281733,-17.760057992026095,3.5,0.10728524827836172,1.634462433691996,0.14511791689462808,-0.29751154851193234,0.46113970263658255,2.329896447121345,고위험
1174061000,천호제2동,강동구,0.0974046538281733,-15.953117369363504,3.5,0.12143903630148135,1.634462433691996,0.21893130557809176,-0.29751154851193234,0.7181363722112072,2.4449844530138427,고위험
1174062000,천호제3동,강동구,0.0974046538281733,-20.156314273961335,3.5,0.11620732208967503,1.634462433691996,0.047231027804136155,-0.29751154851193234,0.6231417936288364,2.358722960366631,고위험
1130553500,미아동,강북구,0.08354103480375964,-27.598102630444156,4.0,0.1159982751185856,0.15318513694273886,-0.2567654674695838,-0.03599030452907002,0.6193460341284898,1.155754591142128,중위험
1130559500,번1동,강북구,0.08354103480375964,-18.34862385321101,4.0,0.10065530799475754,0.15318513694273886,0.1210750456831528,-0.03599030452907002,0.3407569069085618,1.1542043196526892,중위험
1130560300,번2동,강북구,0.08354103480375964,-16.940948693126813,4.0,0.18223620522749273,0.15318513694273886,0.17857847021640813,-0.03599030452907002,1.822057803564321,2.1266182073812785,고위험
1130560800,번3동,강북구,0.08354103480375964,-14.601585314977054,4.0,0.2834793491864831,0.15318513694273886,0.27414128846152797,-0.03599030452907002,3.6603749220787134,8.694857910324497,고위험
1130557500,삼각산동,강북구,0.08354103480375964,-26.95871946082561,4.0,0.14174389216512215,0.15318513694273886,-0.23064671302641052,-0.03599030452907002,1.0868207360454418,1.3822962351474692,중위험
1130553400,삼양동,강북구,0.08354103480375964,-25.296442687747035,4.0,0.13122529644268774,0.15318513694273886,-0.16274283173011075,-0.03599030452907002,0.8958298815228294,1.2931505869683804,중위험
1130554500,송중동,강북구,0.08354103480375964,-20.53256336220725,4.0,0.09464228424767404,0.15318513694273886,0.03186128081622956,-0.03599030452907002,0.23157574109278437,1.1010351661481261,중위험
1130555500,송천동,강북구,0.08354103480375964,-20.30456852791878,4.0,0.12928299492385786,0.15318513694273886,0.0411748526680586,-0.03599030452907002,0.860562642757232,1.3242313442663562,중위험
1130561500,수유1동,강북구,0.08354103480375964,-45.12753433616743,4.0,0.12164813603662525,0.15318513694273886,-0.9728414356926935,-0.03599030452907002,0.7219330897721271,1.09700818244846,중위험
1130562500,수유2동,강북구,0.08354103480375964,-40.092969203951185,4.0,0.09490606236684099,0.15318513694273886,-0.7671798282797734,-0.03599030452907002,0.23636527856655684,0.9602321867408752,중위험
1130563500,수유3동,강북구,0.08354103480375964,-42.87489643744822,4.0,0.12178956089478045,0.15318513694273886,-0.8808213467667775,-0.03599030452907002,0.7245010042754093,1.1071754403629979,중위험
1130564500,우이동,강북구,0.08354103480375964,-42.40493728847303,4.0,0.09237507465657974,0.15318513694273886,-0.8616235508383536,-0.03599030452907002,0.19040900091078342,0.9383923948715808,저위험
1130566000,인수동,강북구,0.08354103480375964,-28.44969763606377,4.0,0.10582737768004398,0.15318513694273886,-0.29155305947029486,-0.03599030452907002,0.43466849310409406,1.0864904231375547,중위험
1150060300,가양제1동,강서구,0.09841662492716884,-65.0284686844471,2.9,0.016182199580461493,1.7425878669766774,-1.7857931086973677,-0.6113370412913671,-1.193059163787779,1.951862575926098,고위험
