행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수
1117058000,효창동,용산구,용산구,2023,10743,1573,14.64,321.0,218.0,20.41,0.0,2,0.983,2.988,1573.0,-0.28,1.2613,661.3416,1.5187
1117059000,용문동,용산구,용산구,2023,11493,2178,18.95,532.0,382.0,24.43,0.0,2,0.983,4.629,2178.0,0.76,1.241,900.966,1.5442
1117062500,한강로동,용산구,용산구,2023,21127,3145,14.89,806.0,726.0,25.63,1.0,2,0.983,3.816,1572.5,0.21,1.2551,986.8224,1.5768
1117063000,이촌제1동,용산구,용산구,2023,25022,4311,17.23,746.0,687.0,17.3,1.0,2,0.983,2.981,2155.5,0.45,1.2879,1388.0342,1.5107
1117064000,이촌제2동,용산구,용산구,2023,8003,1787,22.33,427.0,367.0,23.89,0.0,2,0.983,5.335,1787.0,0.54,1.2575,749.0508,1.5579
1117065000,이태원제1동,용산구,용산구,2023,6124,1317,21.51,375.0,327.0,28.47,1.0,2,0.983,6.124,658.5,0.44,1.2712,418.5426,1.6331
1117066000,이태원제2동,용산구,용산구,2023,8685,1824,21.0,513.0,428.0,28.12,0.0,2,0.983,5.905,1824.0,0.89,1.271,772.768,1.6284
1117068500,한남동,용산구,용산구,2023,19398,3595,18.53,856.0,823.0,23.81,1.0,2,0.983,4.412,1797.5,0.21,1.2473,1121.0109,1.5443
1117069000,서빙고동,용산구,용산구,2023,12540,2130,16.99,483.0,425.0,22.68,0.0,2,0.983,3.853,2130.0,0.71,1.3032,925.272,1.5988
1117070000,보광동,용산구,용산구,2023,12692,2657,20.93,791.0,687.0,29.77,0.0,2,0.983,6.231,2657.0,0.9,1.2512,1108.1461,1.6237
1120052000,왕십리제2동,성동구,성동구,2023,16299,2659,16.31,690.0,631.0,25.95,0.0,4,0.909,4.232,2659.0,0.65,1.2372,657.943,1.5583
1120053500,왕십리도선동,성동구,성동구,2023,26401,3952,14.97,1002.0,869.0,25.35,4.0,4,0.909,3.795,790.4,0.5,1.2477,547.8789,1.564
