"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"가회동","저소득노인","65~79세","","1","4","6","6",
"가회동","저소득노인","80세 이상","","2","4","4","3",
"가회동","일   반","계","","218","221","222","204",
"가회동","일   반","65~79세","","162","170","152","143",
"가회동","일   반","80세 이상","","56","51","70","61",
"종로1.2.3.4가동","합계","계","","1215","1111","1489","1127",
"종로1.2.3.4가동","합계","65~79세","","953","868","1178","882",
"종로1.2.3.4가동","합계","80세 이상","","262","243","311","245",
"종로1.2.3.4가동","국민기초생활보장 수급권자","계","","372","404","426","474",
"종로1.2.3.4가동","국민기초생활보장 수급권자","65~79세","","298","333","347","387",
"종로1.2.3.4가동","국민기초생활보장 수급권자","80세 이상","","74","71","79","87",
"종로1.2.3.4가동","저소득노인","계","","35","19","21","19",
"종로1.2.3.4가동","저소득노인","65~79세","","22","10","13","10",
"종로1.2.3.4가동","저소득노인","80세 이상","","13","9","8","9",
"종로1.2.3.4가동","일   반","계","","808","688","1042","634",
"종로1.2.3.4가동","일   반","65~79세","","633","525","818","485",
"종로1.2.3.4가동","일   반","80세 이상","","175","163","224","149",
"종로5.6가동","합계","계","","446","489","616","481",
"종로5.6가동","합계","65~79세","","334","370","465","356",
"종로5.6가동","합계","80세 이상","","112","119","151","125",
"종로5.6가동","국민기초생활보장 수급권자","계","","101","124","133","146",
"종로5.6가동","국민기초생활보장 수급권자","65~79세","","85","99","100","111",
"종로5.6가동","국민기초생활보장 수급권자","80세 이상","","16","25","33","35",
"종로5.6가동","저소득노인","계","","30","32","24","13",
"종로5.6가동","저소득노인","65~79세","","18","23","17","8",
"종로5.6가동","저소득노인","80세 이상","","12","9","7","5",
"종로5.6가동","일   반","계","","315","333","459","322",
"종로5.6가동","일   반","65~79세","","231","248","348","237",
"종로5.6가동","일   반","80세 이상","","84","85","111","85",
"이화동","합계","계","","430","456","601","432",
"이화동","합계","65~79세","","296","311","396","288",
"이화동","합계","80세 이상","","134","145","205","144",
"이화동","국민기초생활보장 수급권자","계","","101","100","134","107",
"이화동","국민기초생활보장 수급권자","65~79세","","66","64","89","76",
"이화동","국민기초생활보장 수급권자","80세 이상","","35","36","45","31",
"이화동","저소득노인","계","","26","40","33","30",
"이화동","저소득노인","65~79세","","14","25","14","12",
"이화동","저소득노인","80세 이상","","12","15","19","18",
"이화동","일   반","계","","303","316","434","295",
"이화동","일   반","65~79세","","216","222","293","200",
"이화동","일   반","80세 이상","","87","94","141","95",
"혜화동","합계","계","","708","766","846","741",
"혜화동","합계","65~79세","","456","476","513","443",
"혜화동","합계","80세 이상","","252","290","333","298",
"혜화동","국민기초생활보장 수급권자","계","","106","128","115","114",
"혜화동","국민기초생활보장 수급권자","65~79세","","62","76","71","69",
"혜화동","국민기초생활보장 수급권자","80세 이상","","44","52","44","45",
"혜화동","저소득노인","계","","20","19","37","14",
"혜화동","저소득노인","65~79세","","12","7","16","5",
"혜화동","저소득노인","80세 이상","","8","12","21","9",
"혜화동","일   반","계","","582","619","694","613",
"혜화동","일   반","65~79세","","382","393","426","369",
"혜화동","일   반","80세 이상","","200","226","268","244",
"창신1동","합계","계","","602","544","813","592",
"창신1동","합계","65~79세","","479","428","630","459",
"창신1동","합계","80세 이상","","123","116","183","133",
"창신1동","국민기초생활보장 수급권자","계","","208","201","234","216",
"창신1동","국민기초생활보장 수급권자","65~79세","","172","161","185","178",
"창신1동","국민기초생활보장 수급권자","80세 이상","","36","40","49","38",
"창신1동","저소득노인","계","","9","15","37","14",
"창신1동","저소득노인","65~79세","","5","10","28","11",
"창신1동","저소득노인","80세 이상","","4","5","9","3",
"창신1동","일   반","계","","385","328","542","362",
"창신1동","일   반","65~79세","","302","257","417","270",
"창신1동","일   반","80세 이상","","83","71","125","92",
"창신2동","합계","계","","587","659","951","685",
"창신2동","합계","65~79세","","467","503","705","510",
"창신2동","합계","80세 이상","","120","156","246","175",
"창신2동","국민기초생활보장 수급권자","계","","147","209","251","268",
"창신2동","국민기초생활보장 수급권자","65~79세","","114","149","182","193",
"창신2동","국민기초생활보장 수급권자","80세 이상","","33","60","69","75",
"창신2동","저소득노인","계","","16","34","26","32",
"창신2동","저소득노인","65~79세","","9","24","16","25",
"창신2동","저소득노인","80세 이상","","7","10","10","7",
"창신2동","일   반","계","","424","416","674","385",
"창신2동","일   반","65~79세","","344","330","507","292",
"창신2동","일   반","80세 이상","","80","86","167","93",
"창신3동","합계","계","","285","309","404","326",
"창신3동","합계","65~79세","","203","209","273","218",
"창신3동","합계","80세 이상","","82","100","131","108",
"창신3동","국민기초생활보장 수급권자","계","","60","77","85","111",
"창신3동","국민기초생활보장 수급권자","65~79세","","46","56","57","78",
"창신3동","국민기초생활보장 수급권자","80세 이상","","14","21","28","33",
