시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,중구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,70-74세,1,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,75-79세,1,0,0,0,1,0,0,0,0,0
서울,중구,의료,남자,80-84세,1,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,85세이상,5,0,0,1,1,1,0,1,0,0
서울,중구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,여자,70-74세,1,0,0,0,0,1,0,0,0,0
서울,중구,의료,여자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,중구,의료,여자,80-84세,1,0,0,1,0,0,0,0,0,0
서울,중구,의료,여자,85세이상,8,1,1,3,0,1,0,1,0,0
서울,중구,감경,남자,65세미만,6,0,1,3,1,0,0,0,0,0
서울,중구,감경,남자,65-69세,21,3,0,5,8,1,1,1,0,1
서울,중구,감경,남자,70-74세,23,1,2,11,2,2,1,0,1,0
서울,중구,감경,남자,75-79세,39,2,2,10,14,6,3,1,0,0
서울,중구,감경,남자,80-84세,45,3,6,13,15,8,0,0,0,0
서울,중구,감경,남자,85세이상,51,1,5,17,19,5,3,0,0,0
서울,중구,감경,여자,65세미만,3,2,0,0,0,0,0,0,0,0
서울,중구,감경,여자,65-69세,14,1,1,4,4,2,0,0,0,1
서울,중구,감경,여자,70-74세,30,0,3,4,13,1,1,2,0,1
서울,중구,감경,여자,75-79세,49,2,2,13,17,2,0,4,1,1
서울,중구,감경,여자,80-84세,117,1,8,32,48,11,7,0,2,0
서울,중구,감경,여자,85세이상,197,10,21,87,57,12,2,3,0,0
서울,용산구,일반,남자,65세미만,29,2,1,5,4,0,0,7,2,1
서울,용산구,일반,남자,65-69세,60,2,6,13,10,1,2,4,4,1
서울,용산구,일반,남자,70-74세,80,5,8,17,23,3,0,5,2,1
서울,용산구,일반,남자,75-79세,107,5,7,29,19,4,1,7,4,5
서울,용산구,일반,남자,80-84세,201,3,17,42,69,14,9,7,7,3
서울,용산구,일반,남자,85세이상,311,19,32,87,107,12,3,9,4,4
서울,용산구,일반,여자,65세미만,21,2,0,3,3,2,0,5,1,1
서울,용산구,일반,여자,65-69세,62,4,1,5,16,0,1,6,2,2
서울,용산구,일반,여자,70-74세,129,4,6,19,21,12,2,10,7,4
서울,용산구,일반,여자,75-79세,253,8,17,34,73,19,4,12,10,2
서울,용산구,일반,여자,80-84세,517,15,37,103,186,43,5,24,11,5
서울,용산구,일반,여자,85세이상,772,28,104,203,281,36,8,24,12,2
서울,용산구,기초,남자,65세미만,33,1,4,6,5,0,0,3,1,2
서울,용산구,기초,남자,65-69세,44,1,0,7,7,0,1,5,3,3
서울,용산구,기초,남자,70-74세,33,0,1,5,8,2,0,2,6,0
서울,용산구,기초,남자,75-79세,24,0,0,3,6,1,0,5,0,0
서울,용산구,기초,남자,80-84세,27,1,1,6,5,1,0,3,1,0
서울,용산구,기초,남자,85세이상,24,0,1,5,6,2,1,2,2,0
서울,용산구,기초,여자,65세미만,15,1,3,5,1,0,2,1,0,1
서울,용산구,기초,여자,65-69세,40,0,0,3,10,0,0,6,3,1
서울,용산구,기초,여자,70-74세,38,0,0,6,6,1,0,3,6,0
서울,용산구,기초,여자,75-79세,63,0,1,8,22,7,3,2,2,0
서울,용산구,기초,여자,80-84세,79,0,6,12,33,4,0,8,5,0
서울,용산구,기초,여자,85세이상,143,2,11,28,56,8,0,8,8,2
서울,용산구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,65-69세,1,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,70-74세,1,0,1,0,0,0,0,0,0,0
서울,용산구,의료,남자,75-79세,1,0,0,1,0,0,0,0,0,0
서울,용산구,의료,남자,80-84세,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,85세이상,4,0,0,0,2,0,0,0,0,0
서울,용산구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,여자,70-74세,1,0,0,0,0,0,0,0,0,0
서울,용산구,의료,여자,75-79세,2,0,0,1,1,0,0,0,0,0
서울,용산구,의료,여자,80-84세,4,0,0,1,1,0,0,0,0,0
서울,용산구,의료,여자,85세이상,9,0,1,1,5,1,0,0,0,0
서울,용산구,감경,남자,65세미만,3,0,0,0,0,1,0,0,0,0
서울,용산구,감경,남자,65-69세,17,1,2,5,6,2,0,0,0,0
서울,용산구,감경,남자,70-74세,18,1,1,10,5,0,0,0,0,0
서울,용산구,감경,남자,75-79세,27,2,3,8,9,5,0,0,0,0
서울,용산구,감경,남자,80-84세,54,1,5,18,22,5,1,0,0,0
서울,용산구,감경,남자,85세이상,43,2,3,13,16,7,0,0,1,0
서울,용산구,감경,여자,65세미만,5,0,0,3,2,0,0,0,0,0
서울,용산구,감경,여자,65-69세,9,0,1,0,5,1,0,1,0,0
서울,용산구,감경,여자,70-74세,22,0,0,9,8,1,1,1,0,0
서울,용산구,감경,여자,75-79세,65,0,6,22,30,2,3,0,0,0
서울,용산구,감경,여자,80-84세,132,5,12,35,64,8,2,1,1,0
서울,용산구,감경,여자,85세이상,227,12,33,69,91,11,0,1,0,0
서울,성동구,일반,남자,65세미만,36,4,3,4,5,0,0,11,3,1
서울,성동구,일반,남자,65-69세,83,4,2,11,27,2,2,6,8,3
서울,성동구,일반,남자,70-74세,125,9,6,34,25,7,1,10,2,4
서울,성동구,일반,남자,75-79세,190,10,14,29,51,22,6,14,8,2
서울,성동구,일반,남자,80-84세,281,8,17,52,73,40,12,11,13,5
서울,성동구,일반,남자,85세이상,291,10,19,60,94,30,5,15,9,3
서울,성동구,일반,여자,65세미만,36,4,4,1,5,2,2,5,4,3
서울,성동구,일반,여자,65-69세,108,9,6,15,13,6,1,17,2,5
서울,성동구,일반,여자,70-74세,218,9,16,20,33,15,5,34,8,5
서울,성동구,일반,여자,75-79세,418,11,19,48,114,35,10,49,32,8
서울,성동구,일반,여자,80-84세,690,18,29,111,221,88,21,51,18,14
서울,성동구,일반,여자,85세이상,831,35,70,193,273,86,12,50,16,9
서울,성동구,기초,남자,65세미만,41,2,2,4,10,3,3,5,3,1
서울,성동구,기초,남자,65-69세,37,2,0,6,7,1,1,7,2,3
서울,성동구,기초,남자,70-74세,42,0,3,4,7,4,1,6,2,2
서울,성동구,기초,남자,75-79세,34,0,1,3,10,2,0,3,2,0
서울,성동구,기초,남자,80-84세,44,0,3,5,9,4,3,2,3,1
서울,성동구,기초,남자,85세이상,31,0,0,3,12,1,2,0,3,0
서울,성동구,기초,여자,65세미만,15,1,0,0,1,2,0,3,1,1
서울,성동구,기초,여자,65-69세,51,1,3,5,6,2,1,6,6,4
서울,성동구,기초,여자,70-74세,45,2,1,7,16,1,0,3,5,3
서울,성동구,기초,여자,75-79세,88,1,0,20,25,6,1,9,2,4
서울,성동구,기초,여자,80-84세,156,7,6,16,47,15,2,11,10,3
서울,성동구,기초,여자,85세이상,194,7,15,29,60,11,1,7,7,1
서울,성동구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,성동구,의료,남자,65-69세,1,0,0,0,0,0,0,0,1,0
서울,성동구,의료,남자,70-74세,1,0,0,0,0,0,0,0,0,0
서울,성동구,의료,남자,75-79세,2,0,1,1,0,0,0,0,0,0
서울,성동구,의료,남자,80-84세,2,0,0,0,0,0,0,0,0,0
서울,성동구,의료,남자,85세이상,3,0,0,1,1,0,0,0,0,0
서울,성동구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,성동구,의료,여자,65-69세,1,0,0,0,0,0,0,1,0,0
서울,성동구,의료,여자,70-74세,2,1,0,0,0,0,0,0,1,0
서울,성동구,의료,여자,75-79세,2,0,0,0,0,0,1,0,1,0
서울,성동구,의료,여자,80-84세,14,0,2,1,4,0,1,2,0,0
서울,성동구,의료,여자,85세이상,19,1,1,5,8,0,0,0,0,0
서울,성동구,감경,남자,65세미만,24,1,2,8,5,1,1,0,0,0
서울,성동구,감경,남자,65-69세,29,1,2,7,9,1,2,1,0,3
서울,성동구,감경,남자,70-74세,42,2,5,16,12,3,0,1,1,0
서울,성동구,감경,남자,75-79세,40,0,3,10,18,3,0,1,0,2
서울,성동구,감경,남자,80-84세,65,1,5,16,31,8,2,0,0,0
서울,성동구,감경,남자,85세이상,63,2,6,15,32,6,2,0,0,0
서울,성동구,감경,여자,65세미만,20,4,1,7,4,0,0,2,0,0
서울,성동구,감경,여자,65-69세,24,5,1,6,7,1,2,1,0,0
서울,성동구,감경,여자,70-74세,50,4,5,17,15,2,0,1,1,0
서울,성동구,감경,여자,75-79세,127,5,9,29,51,19,5,2,0,1
서울,성동구,감경,여자,80-84세,188,6,10,50,80,23,8,2,1,2
서울,성동구,감경,여자,85세이상,308,9,26,95,124,34,6,1,1,0
서울,광진구,일반,남자,65세미만,52,6,5,1,10,2,0,6,5,2
서울,광진구,일반,남자,65-69세,113,4,11,20,24,5,2,13,2,3
서울,광진구,일반,남자,70-74세,148,7,7,39,34,7,1,8,6,4
서울,광진구,일반,남자,75-79세,208,9,11,52,52,18,2,10,6,6
서울,광진구,일반,남자,80-84세,303,9,13,95,93,20,6,19,5,5
서울,광진구,일반,남자,85세이상,369,10,37,83,151,27,3,11,4,2
서울,광진구,일반,여자,65세미만,50,2,2,14,10,2,0,6,1,3
서울,광진구,일반,여자,65-69세,113,2,7,16,21,8,1,7,5,6
서울,광진구,일반,여자,70-74세,247,14,9,47,54,16,3,26,11,3
서울,광진구,일반,여자,75-79세,420,17,23,89,111,24,10,27,9,5
서울,광진구,일반,여자,80-84세,712,17,41,171,253,61,10,33,15,5
서울,광진구,일반,여자,85세이상,946,46,109,305,303,51,5,30,6,1
서울,광진구,기초,남자,65세미만,49,1,3,6,9,4,0,3,4,3
서울,광진구,기초,남자,65-69세,59,3,3,9,10,5,2,4,2,1
서울,광진구,기초,남자,70-74세,41,1,6,1,15,1,1,1,1,4
서울,광진구,기초,남자,75-79세,37,1,1,4,13,5,0,3,2,0
서울,광진구,기초,남자,80-84세,43,0,4,7,10,5,2,0,4,1
서울,광진구,기초,남자,85세이상,27,0,0,8,7,2,1,2,0,0
서울,광진구,기초,여자,65세미만,25,1,3,2,11,0,1,0,0,0
서울,광진구,기초,여자,65-69세,42,0,1,8,17,0,1,8,1,1
서울,광진구,기초,여자,70-74세,71,3,1,5,26,4,2,6,5,1
서울,광진구,기초,여자,75-79세,104,4,6,17,19,5,1,5,7,5
서울,광진구,기초,여자,80-84세,140,2,9,27,52,10,1,9,7,1
서울,광진구,기초,여자,85세이상,193,8,21,52,69,6,0,2,2,1
서울,광진구,의료,남자,65세미만,1,0,0,0,0,0,0,0,0,0
서울,광진구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,남자,70-74세,1,0,0,0,1,0,0,0,0,0
서울,광진구,의료,남자,75-79세,2,0,1,0,1,0,0,0,0,0
서울,광진구,의료,남자,80-84세,3,0,0,1,0,0,0,0,0,0
서울,광진구,의료,남자,85세이상,7,0,1,2,1,0,0,0,0,0
서울,광진구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,65-69세,1,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,70-74세,2,0,1,0,1,0,0,0,0,0
서울,광진구,의료,여자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,80-84세,5,0,0,2,1,0,0,0,0,0
서울,광진구,의료,여자,85세이상,23,0,2,9,7,1,0,0,0,0
