행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1126060000,중화제1동,중랑구,중랑구,2023,19061,3866,700.0,20.28,1.24,25.12,17.95,6.34,1933.0,0.964,11.0,361.7089,32.72
1126061000,중화제2동,중랑구,중랑구,2023,24371,5209,1462.0,21.37,1.09,37.38,17.97,8.1,5209.0,0.964,11.0,535.0077,28.65
1126062000,묵제1동,중랑구,중랑구,2023,34077,6201,880.0,18.2,0.77,20.96,18.46,8.18,2067.0,0.964,11.0,545.2451,39.02
1126063000,묵제2동,중랑구,중랑구,2023,18385,3783,715.0,20.58,1.17,28.21,17.75,7.11,3783.0,0.964,11.0,385.7714,40.03
1126065500,망우본동,중랑구,중랑구,2023,35571,6869,1357.0,19.31,0.66,33.32,17.04,8.53,686.9,0.964,11.0,402.7524,52.28
1126066000,망우제3동,중랑구,중랑구,2023,15941,3544,871.0,22.23,1.21,35.86,17.92,8.83,1772.0,0.964,11.0,336.053,37.79
1126068000,신내1동,중랑구,중랑구,2023,38129,7304,942.0,19.16,1.26,20.19,17.98,9.59,2434.67,0.964,11.0,646.9779,44.84
1126069000,신내2동,중랑구,중랑구,2023,19970,4323,889.0,21.65,1.37,30.3,17.39,9.7,2161.5,0.964,11.0,411.9154,38.77
1129052500,성북동,성북구,성북구,2023,16246,3082,741.0,18.97,0.45,26.57,18.97,13.06,3082.0,0.851,19.0,196.1693,10.01
1129055500,삼선동,성북구,성북구,2023,22433,4041,1103.0,18.01,0.6,28.41,20.08,10.35,4041.0,0.851,19.0,253.9162,4.0
1129057500,동선동,성북구,성북구,2023,15077,2185,644.0,14.49,-0.28,29.7,21.48,10.26,546.25,0.851,19.0,119.415,0.77
1129058000,돈암제1동,성북구,성북구,2023,14404,3015,611.0,20.93,1.06,24.68,17.55,9.46,1507.5,0.851,19.0,178.488,19.69
1129059000,돈암제2동,성북구,성북구,2023,23490,3687,501.0,15.7,0.81,17.06,17.09,11.09,3687.0,0.851,19.0,231.3039,22.75
1129060000,안암동,성북구,성북구,2023,15096,2126,603.0,14.08,-0.02,30.57,19.96,11.3,1063.0,0.851,19.0,127.6511,7.51
1129061000,보문동,성북구,성북구,2023,16303,2601,676.0,15.95,0.33,29.72,18.85,9.65,650.25,0.851,19.0,140.5219,13.41
1129062000,정릉제1동,성북구,성북구,2023,17940,3233,580.0,18.02,0.68,20.45,19.18,9.44,1616.5,0.851,19.0,192.0094,13.07
1129063000,정릉제2동,성북구,성북구,2023,22675,4679,912.0,20.64,1.25,23.04,18.42,9.15,1559.67,0.851,19.0,264.1934,16.72
1129064000,정릉제3동,성북구,성북구,2023,15142,3399,914.0,22.45,0.65,29.77,19.98,10.27,3399.0,0.851,19.0,213.2703,10.19
1129065000,정릉제4동,성북구,성북구,2023,24415,5012,1076.0,20.53,0.84,25.56,18.64,8.74,5012.0,0.851,19.0,310.8442,17.44
1129066000,길음제1동,성북구,성북구,2023,34796,4839,817.0,13.91,0.74,19.32,19.83,8.54,4839.0,0.851,19.0,299.6793,13.49
1129068500,길음제2동,성북구,성북구,2023,21621,3136,554.0,14.5,0.19,22.51,16.81,8.8,627.2,0.851,19.0,161.1381,24.25
1129070500,종암동,성북구,성북구,2023,38129,7015,1600.0,18.4,0.72,26.46,18.34,12.05,1753.75,0.851,19.0,385.093,14.84
1129071500,월곡제1동,성북구,성북구,2023,25955,4947,1003.0,19.06,0.9,24.48,19.1,8.35,2473.5,0.851,19.0,291.2841,18.85
1129072500,월곡제2동,성북구,성북구,2023,19188,3742,734.0,19.5,0.75,25.33,18.02,9.49,3742.0,0.851,19.0,232.8647,25.58
1129076000,장위제1동,성북구,성북구,2023,23801,4230,921.0,17.77,0.96,28.98,18.12,7.64,4230.0,0.851,19.0,260.0181,28.61
1129077000,장위제2동,성북구,성북구,2023,13372,3161,797.0,23.64,0.86,29.17,18.52,8.58,1580.5,0.851,19.0,186.3184,14.57
1129078000,장위제3동,성북구,성북구,2023,15727,2209,492.0,14.05,0.5,23.63,17.29,7.24,1104.5,0.851,19.0,128.6374,5.92
1129081000,석관동,성북구,성북구,2023,34360,7518,1419.0,21.88,1.2,26.51,19.81,8.08,3759.0,0.851,19.0,442.2732,33.97
1130553400,삼양동,강북구,강북구,2023,22848,5060,1424.0,22.15,1.1,32.11,19.09,7.93,5060.0,0.852,10.0,567.594,13.2
1130553500,미아동,강북구,강북구,2023,21155,4638,1202.0,21.92,0.7,34.52,18.48,8.69,927.6,0.852,10.0,383.6554,28.66
1130554500,송중동,강북구,강북구,2023,29215,6234,1380.0,21.34,0.82,27.27,18.88,7.65,1246.8,0.852,10.0,511.3542,20.85
1130555500,송천동,강북구,강북구,2023,25521,6304,1702.0,24.7,1.13,34.04,19.1,8.06,1050.67,0.852,10.0,486.5506,23.18
1130557500,삼각산동,강북구,강북구,2023,30756,4748,900.0,15.44,0.9,24.81,18.84,8.98,4748.0,0.852,10.0,534.9269,26.92
1130559500,번1동,강북구,강북구,2023,18099,3815,927.0,21.08,1.01,31.64,20.64,8.21,545.0,0.852,10.0,277.3281,26.39
1130560300,번2동,강북구,강북구,2023,15256,4132,936.0,27.08,1.48,32.72,21.6,7.53,4132.0,0.852,10.0,464.0987,36.77
1130560800,번3동,강북구,강북구,2023,16300,4794,1127.0,29.41,1.36,35.36,23.9,7.66,2397.0,0.852,10.0,495.8994,40.81
1130561500,수유1동,강북구,강북구,2023,20251,4587,1173.0,22.65,1.0,31.59,19.73,9.01,4587.0,0.852,10.0,517.7472,21.13
1130562500,수유2동,강북구,강북구,2023,20863,5163,979.0,24.75,1.34,25.53,18.9,10.46,5163.0,0.852,10.0,588.9575,29.73
1130563500,수유3동,강북구,강북구,2023,23017,4828,1148.0,20.98,0.64,32.85,19.42,8.73,2414.0,0.852,10.0,498.7324,32.32
1130564500,우이동,강북구,강북구,2023,20195,5023,1123.0,24.87,1.06,28.19,19.39,9.76,5023.0,0.852,10.0,571.4804,23.18
1130566000,인수동,강북구,강북구,2023,29643,7276,1632.0,24.55,1.32,29.21,18.89,9.36,1039.43,0.852,10.0,532.3464,26.4
1132051100,창제1동,도봉구,도봉구,2023,24309,4923,902.0,20.25,1.36,24.84,18.5,9.53,4923.0,0.909,21.0,278.5747,30.44
1132051200,창제2동,도봉구,도봉구,2023,28567,5543,904.0,19.4,1.05,23.34,18.65,8.5,1847.67,0.909,21.0,285.4183,35.87
1132051300,창제3동,도봉구,도봉구,2023,13454,3069,688.0,22.81,1.35,29.52,19.77,7.6,3069.0,0.909,21.0,172.0035,27.53
1132051400,창제4동,도봉구,도봉구,2023,25916,4570,744.0,17.63,1.26,20.68,16.81,11.18,4570.0,0.909,21.0,260.1161,23.91
1132051500,창제5동,도봉구,도봉구,2023,24177,4694,706.0,19.42,1.34,20.9,16.01,9.81,1173.5,0.909,21.0,233.0665,32.9
1132052100,도봉제1동,도봉구,도봉구,2023,20418,5998,1312.0,29.38,1.64,31.86,20.56,8.52,1499.5,0.909,21.0,297.5968,37.61
1132052200,도봉제2동,도봉구,도봉구,2023,26132,6871,1195.0,26.29,1.86,24.47,18.01,9.06,6871.0,0.909,21.0,386.6187,34.12
