"동별","독거노인별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"평창동","합계","65~79세","","","","","","432","234","164","389","438","397","478","456","508","522","476",
"평창동","합계","80세 이상","","","","","","226","372","451","248","211","243","276","247","286","312","323",
"평창동","국민기초생활보장 수급권자","계","","","","","","40","28","45","35","59","45","44","48","56","59","61",
"평창동","국민기초생활보장 수급권자","65~79세","","","","","","38","22","6","26","35","31","29","31","35","37","37",
"평창동","국민기초생활보장 수급권자","80세 이상","","","","","","2","6","39","9","24","14","15","17","21","22","24",
"평창동","저소득노인","계","","","","","","10","16","15","27","23","26","15","22","22","35","31",
"평창동","저소득노인","65~79세","","","","","","7","9","1","17","11","11","7","10","12","17","17",
"평창동","저소득노인","80세 이상","","","","","","3","7","14","10","12","15","8","12","10","18","14",
"평창동","일   반","계","","","","","","608","562","555","575","567","569","695","633","716","740","707",
"평창동","일   반","65~79세","","","","","","387","203","157","346","392","355","442","415","461","468","422",
"평창동","일   반","80세 이상","","","","","","221","359","398","229","175","214","253","218","255","272","285",
"무악동","합계","계","","","","","","337","211","205","231","236","265","334","291","327","436","340",
"무악동","합계","65~79세","","","","","","238","156","151","179","176","189","236","208","214","257","214",
"무악동","합계","80세 이상","","","","","","99","55","54","52","60","76","98","83","113","179","126",
"무악동","국민기초생활보장 수급권자","계","","","","","","52","37","42","41","52","57","62","59","88","81","103",
"무악동","국민기초생활보장 수급권자","65~79세","","","","","","39","26","27","29","36","39","37","35","55","43","74",
"무악동","국민기초생활보장 수급권자","80세 이상","","","","","","13","11","15","12","16","18","25","24","33","38","29",
"무악동","저소득노인","계","","","","","","25","2","21","18","14","17","11","11","20","32","9",
"무악동","저소득노인","65~79세","","","","","","19","1","13","11","9","8","7","5","6","14","2",
"무악동","저소득노인","80세 이상","","","","","","6","1","8","7","5","9","4","6","14","18","7",
"무악동","일   반","계","","","","","","260","172","142","172","170","191","261","221","219","323","228",
"무악동","일   반","65~79세","","","","","","180","129","111","139","131","142","192","168","153","200","138",
"무악동","일   반","80세 이상","","","","","","80","43","31","33","39","49","69","53","66","123","90",
"교남동","합계","계","","","","","","291","530","253","324","346","1650","503","414","444","577","449",
"교남동","합계","65~79세","","","","","","230","416","203","247","104","1259","362","306","314","385","315",
"교남동","합계","80세 이상","","","","","","61","114","50","77","242","391","141","108","130","192","134",
"교남동","국민기초생활보장 수급권자","계","","","","","","35","47","45","53","53","68","89","79","55","119","106",
"교남동","국민기초생활보장 수급권자","65~79세","","","","","","27","36","34","41","25","50","63","49","31","66","58",
"교남동","국민기초생활보장 수급권자","80세 이상","","","","","","8","11","11","12","28","18","26","30","24","53","48",
"교남동","저소득노인","계","","","","","","15","16","13","20","32","25","49","14","18","28","52",
"교남동","저소득노인","65~79세","","","","","","9","10","10","9","3","16","31","4","9","17","34",
"교남동","저소득노인","80세 이상","","","","","","6","6","3","11","29","9","18","10","9","11","18",
"교남동","일   반","계","","","","","","241","467","195","251","261","1557","365","321","371","430","291",
"교남동","일   반","65~79세","","","","","","194","370","159","197","76","1193","268","253","274","302","223",
"교남동","일   반","80세 이상","","","","","","47","97","36","54","185","364","97","68","97","128","68",
"청운효자동","합계","계","","","","","","548","437","429","440","448","476","604","514","549","641","536",
"청운효자동","합계","65~79세","","","","","","401","306","297","306","269","313","389","344","352","392","342",
"청운효자동","합계","80세 이상","","","","","","147","131","132","134","179","163","215","170","197","249","194",
"청운효자동","국민기초생활보장 수급권자","계","","","","","","51","50","54","52","52","53","55","71","72","98","88",
"청운효자동","국민기초생활보장 수급권자","65~79세","","","","","","32","32","37","31","22","27","28","35","29","51","46",
"청운효자동","국민기초생활보장 수급권자","80세 이상","","","","","","19","18","17","21","30","26","27","36","43","47","42",
"청운효자동","저소득노인","계","","","","","","11","24","24","28","32","32","34","23","23","34","43",
"청운효자동","저소득노인","65~79세","","","","","","8","12","8","10","13","13","14","10","11","15","18",
"청운효자동","저소득노인","80세 이상","","","","","","3","12","16","18","19","19","20","13","12","19","25",
"청운효자동","일   반","계","","","","","","486","363","351","360","364","391","515","420","454","509","405",
"청운효자동","일   반","65~79세","","","","","","361","262","252","265","234","273","347","299","312","326","278",
"청운효자동","일   반","80세 이상","","","","","","125","101","99","95","130","118","168","121","142","183","127",
"가회동","합계","계","","","","","","261","201","196","197","196","216","296","243","248","251","247",
"가회동","합계","65~79세","","","","","","196","150","49","148","145","157","205","175","181","165","168",
"가회동","합계","80세 이상","","","","","","65","51","147","49","51","59","91","68","67","86","79",
"가회동","국민기초생활보장 수급권자","계","","","","","","23","18","18","20","19","15","18","22","19","19","34",
"가회동","국민기초생활보장 수급권자","65~79세","","","","","","14","10","7","12","13","11","13","12","7","7","19",
"가회동","국민기초생활보장 수급권자","80세 이상","","","","","","9","8","11","8","6","4","5","10","12","12","15",
"가회동","저소득노인","계","","","","","","5","4","6","10","8","13","4","3","8","10","9",
"가회동","저소득노인","65~79세","","","","","","4","1","1","6","4","7","1","1","4","6","6",
"가회동","저소득노인","80세 이상","","","","","","1","3","5","4","4","6","3","2","4","4","3",
"가회동","일   반","계","","","","","","233","179","172","167","169","188","274","218","221","222","204",
"가회동","일   반","65~79세","","","","","","178","139","41","130","128","139","191","162","170","152","143",
"가회동","일   반","80세 이상","","","","","","55","40","131","37","41","49","83","56","51","70","61",
"종로1.2.3.4가동","합계","계","","","","","","980","1095","1089","838","949","781","1285","1215","1111","1489","1127",
"종로1.2.3.4가동","합계","65~79세","","","","","","788","905","881","681","710","599","946","953","868","1178","882",
"종로1.2.3.4가동","합계","80세 이상","","","","","","192","190","208","157","239","182","339","262","243","311","245",
"종로1.2.3.4가동","국민기초생활보장 수급권자","계","","","","","","237","202","235","303","286","298","341","372","404","426","474",
"종로1.2.3.4가동","국민기초생활보장 수급권자","65~79세","","","","","","202","170","194","254","254","250","284","298","333","347","387",
"종로1.2.3.4가동","국민기초생활보장 수급권자","80세 이상","","","","","","35","32","41","49","32","48","57","74","71","79","87",
"종로1.2.3.4가동","저소득노인","계","","","","","","40","14","31","25","45","38","24","35","19","21","19",
"종로1.2.3.4가동","저소득노인","65~79세","","","","","","33","12","17","21","32","22","14","22","10","13","10",
"종로1.2.3.4가동","저소득노인","80세 이상","","","","","","7","2","14","4","13","16","10","13","9","8","9",
"종로1.2.3.4가동","일   반","계","","","","","","703","879","823","510","618","445","920","808","688","1042","634",
"종로1.2.3.4가동","일   반","65~79세","","","","","","553","723","670","406","424","327","648","633","525","818","485",
"종로1.2.3.4가동","일   반","80세 이상","","","","","","150","156","153","104","194","118","272","175","163","224","149",
"종로5.6가동","합계","계","","","","","","391","388","415","731","401","508","501","446","489","616","481",
"종로5.6가동","합계","65~79세","","","","","","315","317","335","590","316","384","378","334","370","465","356",
"종로5.6가동","합계","80세 이상","","","","","","76","71","80","141","85","124","123","112","119","151","125",
"종로5.6가동","국민기초생활보장 수급권자","계","","","","","","67","57","83","77","66","72","100","101","124","133","146",
"종로5.6가동","국민기초생활보장 수급권자","65~79세","","","","","","51","46","63","67","58","59","84","85","99","100","111",
"종로5.6가동","국민기초생활보장 수급권자","80세 이상","","","","","","16","11","20","10","8","13","16","16","25","33","35",
"종로5.6가동","저소득노인","계","","","","","","20","19","24","24","22","25","30","30","32","24","13",
"종로5.6가동","저소득노인","65~79세","","","","","","10","10","14","16","10","15","18","18","23","17","8",
"종로5.6가동","저소득노인","80세 이상","","","","","","10","9","10","8","12","10","12","12","9","7","5",
"종로5.6가동","일   반","계","","","","","","304","312","308","630","313","411","371","315","333","459","322",
"종로5.6가동","일   반","65~79세","","","","","","254","261","258","507","248","310","276","231","248","348","237",
"종로5.6가동","일   반","80세 이상","","","","","","50","51","50","123","65","101","95","84","85","111","85",
"이화동","합계","계","","","","","","353","296","305","405","353","596","508","430","456","601","432",
"이화동","합계","65~79세","","","","","","263","229","238","296","257","415","347","296","311","396","288",
"이화동","합계","80세 이상","","","","","","90","67","67","109","96","181","161","134","145","205","144",
"이화동","국민기초생활보장 수급권자","계","","","","","","49","48","52","51","56","89","84","101","100","134","107",
"이화동","국민기초생활보장 수급권자","65~79세","","","","","","35","37","40","35","39","60","56","66","64","89","76",
"이화동","국민기초생활보장 수급권자","80세 이상","","","","","","14","11","12","16","17","29","28","35","36","45","31",
"이화동","저소득노인","계","","","","","","41","27","26","27","40","130","50","26","40","33","30",
"이화동","저소득노인","65~79세","","","","","","24","15","14","14","21","87","23","14","25","14","12",
"이화동","저소득노인","80세 이상","","","","","","17","12","12","13","19","43","27","12","15","19","18",
"이화동","일   반","계","","","","","","263","221","227","327","257","377","374","303","316","434","295",
"이화동","일   반","65~79세","","","","","","204","177","184","247","197","268","268","216","222","293","200",
"이화동","일   반","80세 이상","","","","","","59","44","43","80","60","109","106","87","94","141","95",
"혜화동","합계","계","","","","","","624","565","612","672","600","657","786","708","766","846","741",
"혜화동","합계","65~79세","","","","","","474","424","427","474","423","428","520","456","476","513","443",
"혜화동","합계","80세 이상","","","","","","150","141","185","198","177","229","266","252","290","333","298",
"혜화동","국민기초생활보장 수급권자","계","","","","","","44","47","53","65","48","80","75","106","128","115","114",
"혜화동","국민기초생활보장 수급권자","65~79세","","","","","","35","35","36","43","31","60","47","62","76","71","69",
"혜화동","국민기초생활보장 수급권자","80세 이상","","","","","","9","12","17","22","17","20","28","44","52","44","45",
"혜화동","저소득노인","계","","","","","","12","16","20","31","36","53","29","20","19","37","14",
"혜화동","저소득노인","65~79세","","","","","","9","12","14","19","21","36","18","12","7","16","5",
"혜화동","저소득노인","80세 이상","","","","","","3","4","6","12","15","17","11","8","12","21","9",
"혜화동","일   반","계","","","","","","568","502","539","576","516","524","682","582","619","694","613",
"혜화동","일   반","65~79세","","","","","","430","377","377","412","371","332","455","382","393","426","369",
"혜화동","일   반","80세 이상","","","","","","138","125","162","164","145","192","227","200","226","268","244",
"창신1동","합계","계","","","","","","498","403","414","459","497","477","646","602","544","813","592",
"창신1동","합계","65~79세","","","","","","425","345","205","377","435","394","494","479","428","630","459",
"창신1동","합계","80세 이상","","","","","","73","58","209","82","62","83","152","123","116","183","133",
"창신1동","국민기초생활보장 수급권자","계","","","","","","130","117","146","156","174","184","212","208","201","234","216",
"창신1동","국민기초생활보장 수급권자","65~79세","","","","","","116","103","101","134","148","155","179","172","161","185","178",
"창신1동","국민기초생활보장 수급권자","80세 이상","","","","","","14","14","45","22","26","29","33","36","40","49","38",
"창신1동","저소득노인","계","","","","","","11","13","9","11","18","21","29","9","15","37","14",
"창신1동","저소득노인","65~79세","","","","","","10","10","7","10","14","13","22","5","10","28","11",
"창신1동","저소득노인","80세 이상","","","","","","1","3","2","1","4","8","7","4","5","9","3",
"창신1동","일   반","계","","","","","","357","273","259","292","305","272","405","385","328","542","362",
"창신1동","일   반","65~79세","","","","","","299","232","97","233","273","226","293","302","257","417","270",
"창신1동","일   반","80세 이상","","","","","","58","41","162","59","32","46","112","83","71","125","92",
"창신2동","합계","계","","","","","","452","409","428","470","471","496","631","587","659","951","685",
"창신2동","합계","65~79세","","","","","","375","341","353","371","379","428","486","467","503","705","510",
"창신2동","합계","80세 이상","","","","","","77","68","75","99","92","68","145","120","156","246","175",
"창신2동","국민기초생활보장 수급권자","계","","","","","","76","93","103","99","102","129","147","147","209","251","268",
"창신2동","국민기초생활보장 수급권자","65~79세","","","","","","54","72","80","71","76","103","110","114","149","182","193",
"창신2동","국민기초생활보장 수급권자","80세 이상","","","","","","22","21","23","28","26","26","37","33","60","69","75",
"창신2동","저소득노인","계","","","","","","16","18","15","24","22","22","16","16","34","26","32",
"창신2동","저소득노인","65~79세","","","","","","13","10","8","13","8","14","8","9","24","16","25",
"창신2동","저소득노인","80세 이상","","","","","","3","8","7","11","14","8","8","7","10","10","7",
"창신2동","일   반","계","","","","","","360","298","310","347","347","345","468","424","416","674","385",
"창신2동","일   반","65~79세","","","","","","308","259","265","287","295","311","368","344","330","507","292",
"창신2동","일   반","80세 이상","","","","","","52","39","45","60","52","34","100","80","86","167","93",
"창신3동","합계","계","","","","","","236","180","215","215","227","328","326","285","309","404","326",
"창신3동","합계","65~79세","","","","","","182","142","164","154","159","231","226","203","209","273","218",
"창신3동","합계","80세 이상","","","","","","54","38","51","61","68","97","100","82","100","131","108",
"창신3동","국민기초생활보장 수급권자","계","","","","","","22","28","34","36","39","47","60","60","77","85","111",
"창신3동","국민기초생활보장 수급권자","65~79세","","","","","","11","23","25","27","28","35","46","46","56","57","78",
"창신3동","국민기초생활보장 수급권자","80세 이상","","","","","","11","5","9","9","11","12","14","14","21","28","33",
"창신3동","저소득노인","계","","","","","","2","5","10","15","14","25","16","16","7","11","9",
"창신3동","저소득노인","65~79세","","","","","","0","3","5","5","5","13","9","9","5","8","6",
"창신3동","저소득노인","80세 이상","","","","","","2","2","5","10","9","12","7","7","2","3","3",
"창신3동","일   반","계","","","","","","212","147","171","164","174","256","250","209","225","308","206",
"창신3동","일   반","65~79세","","","","","","171","116","134","122","126","183","171","148","148","208","134",
"창신3동","일   반","80세 이상","","","","","","41","31","37","42","48","73","79","61","77","100","72",
"숭인1동","합계","계","","","","","","301","322","373","379","409","481","433","378","406","558","447",
"숭인1동","합계","65~79세","","","","","","240","248","275","278","304","351","300","268","290","388","316",
"숭인1동","합계","80세 이상","","","","","","61","74","98","101","105","130","133","110","116","170","131",
"숭인1동","국민기초생활보장 수급권자","계","","","","","","59","52","58","57","63","74","104","104","116","133","148",
"숭인1동","국민기초생활보장 수급권자","65~79세","","","","","","46","37","42","41","48","58","78","78","85","96","105",
"숭인1동","국민기초생활보장 수급권자","80세 이상","","","","","","13","15","16","16","15","16","26","26","31","37","43",
"숭인1동","저소득노인","계","","","","","","8","10","11","17","25","37","18","18","25","14","27",
"숭인1동","저소득노인","65~79세","","","","","","7","9","10","10","19","26","13","13","11","6","15",
"숭인1동","저소득노인","80세 이상","","","","","","1","1","1","7","6","11","5","5","14","8","12",
"숭인1동","일   반","계","","","","","","234","260","304","305","321","370","311","256","265","411","272",
"숭인1동","일   반","65~79세","","","","","","187","202","223","227","237","267","209","177","194","286","196",
"숭인1동","일   반","80세 이상","","","","","","47","58","81","78","84","103","102","79","71","125","76",
"숭인2동","합계","계","","","","","","593","542","667","564","566","626","722","660","711","954","749",
"숭인2동","합계","65~79세","","","","","","486","484","549","396","408","494","553","535","558","745","579",
"숭인2동","합계","80세 이상","","","","","","107","58","118","168","158","132","169","125","153","209","170",
"숭인2동","국민기초생활보장 수급권자","계","","","","","","103","132","120","121","123","125","160","223","218","229","242",
"숭인2동","국민기초생활보장 수급권자","65~79세","","","","","","82","108","96","84","82","96","128","180","167","179","195",
"숭인2동","국민기초생활보장 수급권자","80세 이상","","","","","","21","24","24","37","41","29","32","43","51","50","47",
"숭인2동","저소득노인","계","","","","","","38","25","21","35","35","27","23","58","37","25","28",
"숭인2동","저소득노인","65~79세","","","","","","30","20","16","18","18","20","18","45","32","19","18",
"숭인2동","저소득노인","80세 이상","","","","","","8","5","5","17","17","7","5","13","5","6","10",
"숭인2동","일   반","계","","","","","","452","385","526","408","408","474","539","379","456","700","479",
"숭인2동","일   반","65~79세","","","","","","374","356","437","294","308","378","407","310","359","547","366",
"숭인2동","일   반","80세 이상","","","","","","78","29","89","114","100","96","132","69","97","153","113",
"중구","합계","계","","4788","4910","5098","5159","5344","5374","5528","5725","5935","6323","7117","7553","7425","7987","8088",
"중구","합계","65~79세","","3869","3943","4066","4087","4170","4146","4226","4356","4440","4682","5272","5538","5417","5766","5850",
