"동별","독거노인별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"묵1동","합계","80세 이상","","","","","","152","193","211","182","194","176","219","246","299","340","350",
"묵1동","국민기초생활보장 수급권자","계","","","","","","134","116","126","154","184","200","272","313","337","356","385",
"묵1동","국민기초생활보장 수급권자","65~79세","","","","","","100","78","85","110","114","119","160","192","203","218","248",
"묵1동","국민기초생활보장 수급권자","80세 이상","","","","","","34","38","41","44","70","81","112","121","134","138","137",
"묵1동","저소득노인","계","","","","","","41","49","53","61","60","47","47","68","28","21","19",
"묵1동","저소득노인","65~79세","","","","","","34","38","40","44","35","27","27","38","21","12","12",
"묵1동","저소득노인","80세 이상","","","","","","7","11","13","17","25","20","20","30","7","9","7",
"묵1동","일   반","계","","","","","","508","618","673","528","636","526","726","732","841","923","961",
"묵1동","일   반","65~79세","","","","","","397","474","516","407","537","451","639","637","683","730","755",
"묵1동","일   반","80세 이상","","","","","","111","144","157","121","99","75","87","95","158","193","206",
"묵2동","합계","계","","","","","","664","616","652","724","715","757","873","962","979","1067","1134",
"묵2동","합계","65~79세","","","","","","564","483","511","594","565","614","677","740","745","794","842",
"묵2동","합계","80세 이상","","","","","","100","133","141","130","150","143","196","222","234","273","292",
"묵2동","국민기초생활보장 수급권자","계","","","","","","104","120","126","124","167","222","270","315","319","350","410",
"묵2동","국민기초생활보장 수급권자","65~79세","","","","","","86","89","94","96","123","165","186","219","220","248","286",
"묵2동","국민기초생활보장 수급권자","80세 이상","","","","","","18","31","32","28","44","57","84","96","99","102","124",
"묵2동","저소득노인","계","","","","","","14","36","38","34","54","44","34","58","31","29","20",
"묵2동","저소득노인","65~79세","","","","","","12","27","29","22","35","26","21","39","17","14","8",
"묵2동","저소득노인","80세 이상","","","","","","2","9","9","12","19","18","13","19","14","15","12",
"묵2동","일   반","계","","","","","","546","460","488","566","494","491","569","589","629","688","704",
"묵2동","일   반","65~79세","","","","","","466","367","388","476","407","423","470","482","508","532","548",
"묵2동","일   반","80세 이상","","","","","","80","93","100","90","87","68","99","107","121","156","156",
"망우본동","합계","계","","","","","","956","1238","1292","1016","1357","1332","1686","1810","2094","2289","2461",
"망우본동","합계","65~79세","","","","","","777","957","997","807","1047","1010","1331","1399","1611","1780","1924",
"망우본동","합계","80세 이상","","","","","","179","281","295","209","310","322","355","411","483","509","537",
"망우본동","국민기초생활보장 수급권자","계","","","","","","219","257","265","239","342","466","633","698","854","947","1044",
"망우본동","국민기초생활보장 수급권자","65~79세","","","","","","164","187","192","174","239","331","444","492","596","683","769",
"망우본동","국민기초생활보장 수급권자","80세 이상","","","","","","55","70","73","65","103","135","189","206","258","264","275",
"망우본동","저소득노인","계","","","","","","87","62","65","107","75","76","58","124","39","39","31",
"망우본동","저소득노인","65~79세","","","","","","57","43","45","67","55","50","41","71","25","22","14",
"망우본동","저소득노인","80세 이상","","","","","","30","19","20","40","20","26","17","53","14","17","17",
"망우본동","일   반","계","","","","","","650","919","962","670","940","790","995","988","1201","1303","1386",
"망우본동","일   반","65~79세","","","","","","556","727","760","566","753","629","846","836","990","1075","1141",
"망우본동","일   반","80세 이상","","","","","","94","192","202","104","187","161","149","152","211","228","245",
"망우3동","합계","계","","","","","","612","735","794","672","871","874","1019","1106","1177","1271","1382",
"망우3동","합계","65~79세","","","","","","459","551","595","489","684","709","791","853","903","968","1062",
"망우3동","합계","80세 이상","","","","","","153","184","199","183","187","165","228","253","274","303","320",
"망우3동","국민기초생활보장 수급권자","계","","","","","","223","193","200","243","271","320","402","483","528","581","617",
"망우3동","국민기초생활보장 수급권자","65~79세","","","","","","159","142","147","169","205","238","294","359","388","437","475",
"망우3동","국민기초생활보장 수급권자","80세 이상","","","","","","64","51","53","74","66","82","108","124","140","144","142",
"망우3동","저소득노인","계","","","","","","40","48","51","60","62","50","36","81","24","16","19",
"망우3동","저소득노인","65~79세","","","","","","31","37","39","41","40","29","20","55","14","11","11",
"망우3동","저소득노인","80세 이상","","","","","","9","11","12","19","22","21","16","26","10","5","8",
"망우3동","일   반","계","","","","","","349","494","543","369","538","504","581","542","625","674","746",
"망우3동","일   반","65~79세","","","","","","269","372","409","279","439","442","477","439","501","520","576",
"망우3동","일   반","80세 이상","","","","","","80","122","134","90","99","62","104","103","124","154","170",
"신내1동","합계","계","","","","","","762","751","794","822","942","1765","1184","1260","1341","1475","1572",
"신내1동","합계","65~79세","","","","","","650","576","608","680","769","1273","901","939","969","1065","1143",
"신내1동","합계","80세 이상","","","","","","112","175","186","142","173","492","283","321","372","410","429",
"신내1동","국민기초생활보장 수급권자","계","","","","","","88","136","143","108","300","328","483","495","526","566","610",
"신내1동","국민기초생활보장 수급권자","65~79세","","","","","","55","86","90","65","188","186","265","271","288","315","347",
"신내1동","국민기초생활보장 수급권자","80세 이상","","","","","","33","50","53","43","112","142","218","224","238","251","263",
"신내1동","저소득노인","계","","","","","","88","46","49","108","123","77","53","135","44","44","38",
"신내1동","저소득노인","65~79세","","","","","","55","35","38","65","69","39","31","71","28","29","24",
"신내1동","저소득노인","80세 이상","","","","","","33","11","11","43","54","38","22","64","16","15","14",
"신내1동","일   반","계","","","","","","586","569","602","606","519","1360","648","630","771","865","924",
"신내1동","일   반","65~79세","","","","","","540","455","480","550","512","1048","605","597","653","721","772",
"신내1동","일   반","80세 이상","","","","","","46","114","122","56","7","312","43","33","118","144","152",
"신내2동","합계","계","","","","","","644","691","719","704","889","855","1076","1134","1222","1310","1400",
"신내2동","합계","65~79세","","","","","","437","518","538","467","663","638","776","799","858","918","1004",
"신내2동","합계","80세 이상","","","","","","207","173","181","237","226","217","300","335","364","392","396",
"신내2동","국민기초생활보장 수급권자","계","","","","","","269","182","185","289","314","322","391","440","493","523","560",
"신내2동","국민기초생활보장 수급권자","65~79세","","","","","","101","137","139","111","221","217","244","280","328","347","377",
"신내2동","국민기초생활보장 수급권자","80세 이상","","","","","","168","45","46","178","93","105","147","160","165","176","183",
"신내2동","저소득노인","계","","","","","","98","34","35","118","79","53","42","85","28","23","19",
"신내2동","저소득노인","65~79세","","","","","","83","21","21","93","58","39","29","54","15","9","7",
"신내2동","저소득노인","80세 이상","","","","","","15","13","14","25","21","14","13","31","13","14","12",
"신내2동","일   반","계","","","","","","277","475","499","297","496","480","643","609","701","764","821",
"신내2동","일   반","65~79세","","","","","","253","360","378","263","384","382","503","465","515","562","620",
"신내2동","일   반","80세 이상","","","","","","24","115","121","34","112","98","140","144","186","202","201",
"성북구","합계","계","","7112","6399","12399","13106","14530","13291","13643","14082","16698","15668","17225","18225","18524","19763","28027",
"성북구","합계","65~79세","","5626","4829","9430","9900","11296","10487","10475","10787","12176","11612","12615","13151","13130","13842","18946",
"성북구","합계","80세 이상","","1486","1570","2969","3206","3234","2804","3168","3295","4522","4056","4610","5074","5394","5921","9081",
"성북구","국민기초생활보장 수급권자","계","","1157","1152","1816","2340","2472","2339","2463","2529","2914","3699","4141","4725","6880","7495","6039",
"성북구","국민기초생활보장 수급권자","65~79세","","831","817","1229","1791","1813","1833","1846","1870","2071","2543","2815","3151","4568","4987","4017",
"성북구","국민기초생활보장 수급권자","80세 이상","","326","335","587","549","659","506","617","659","843","1156","1326","1574","2312","2508","2022",
"성북구","저소득노인","계","","4667","3217","5599","477","759","478","752","841","860","1094","824","698","336","994","1273",
"성북구","저소득노인","65~79세","","3820","2386","4113","342","473","369","454","508","529","794","458","394","166","582","560",
"성북구","저소득노인","80세 이상","","847","831","1486","135","286","109","298","333","331","300","366","304","170","412","713",
"성북구","일   반","계","","1288","2030","4984","10289","11299","10474","10428","10712","12924","10875","12260","12802","11308","11274","20715",
"성북구","일   반","65~79세","","975","1626","4088","7767","9010","8285","8175","8409","9576","8275","9342","9606","8396","8273","14369",
"성북구","일   반","80세 이상","","313","404","896","2522","2289","2189","2253","2303","3348","2600","2918","3196","2912","3001","6346",
"성북동","합계","계","","","","","","693","615","608","620","741","689","764","793","770","819","999",
"성북동","합계","65~79세","","","","","","507","459","428","428","504","483","514","535","509","528","629",
"성북동","합계","80세 이상","","","","","","186","156","180","192","237","206","250","258","261","291","370",
"성북동","국민기초생활보장 수급권자","계","","","","","","82","71","76","74","83","100","98","105","166","174","126",
"성북동","국민기초생활보장 수급권자","65~79세","","","","","","55","52","50","46","45","68","57","63","108","110","82",
"성북동","국민기초생활보장 수급권자","80세 이상","","","","","","27","19","26","28","38","32","41","42","58","64","44",
"성북동","저소득노인","계","","","","","","28","14","30","28","26","35","34","21","15","36","32",
"성북동","저소득노인","65~79세","","","","","","17","10","16","17","17","16","17","8","7","15","9",
"성북동","저소득노인","80세 이상","","","","","","11","4","14","11","9","19","17","13","8","21","23",
"성북동","일   반","계","","","","","","583","530","502","518","632","554","632","667","589","609","841",
"성북동","일   반","65~79세","","","","","","435","397","362","365","442","399","440","464","394","403","538",
"성북동","일   반","80세 이상","","","","","","148","133","140","153","190","155","192","203","195","206","303",
"삼선동","합계","계","","","","","","933","872","898","936","1103","916","1011","1068","1068","1148","1589",
"삼선동","합계","65~79세","","","","","","720","685","678","707","787","687","738","768","766","812","1077",
"삼선동","합계","80세 이상","","","","","","213","187","220","229","316","229","273","300","302","336","512",
"삼선동","국민기초생활보장 수급권자","계","","","","","","144","128","142","151","181","218","221","251","369","382","316",
"삼선동","국민기초생활보장 수급권자","65~79세","","","","","","108","100","112","122","137","173","164","181","271","281","220",
"삼선동","국민기초생활보장 수급권자","80세 이상","","","","","","36","28","30","29","44","45","57","70","98","101","96",
"삼선동","저소득노인","계","","","","","","46","35","56","63","64","73","51","48","21","50","70",
"삼선동","저소득노인","65~79세","","","","","","28","27","40","42","41","58","32","32","10","31","32",
"삼선동","저소득노인","80세 이상","","","","","","18","8","16","21","23","15","19","16","11","19","38",
"삼선동","일   반","계","","","","","","743","709","700","722","858","625","739","769","678","716","1203",
"삼선동","일   반","65~79세","","","","","","584","558","526","543","609","456","542","555","485","500","825",
"삼선동","일   반","80세 이상","","","","","","159","151","174","179","249","169","197","214","193","216","378",
"동선동","합계","계","","","","","","578","483","506","515","644","556","655","678","608","649","865",
"동선동","합계","65~79세","","","","","","440","382","392","395","469","411","470","484","425","440","575",
"동선동","합계","80세 이상","","","","","","138","101","114","120","175","145","185","194","183","209","290",
"동선동","국민기초생활보장 수급권자","계","","","","","","69","71","77","78","93","114","123","147","194","193","154",
"동선동","국민기초생활보장 수급권자","65~79세","","","","","","51","56","56","57","64","81","87","99","132","124","105",
"동선동","국민기초생활보장 수급권자","80세 이상","","","","","","18","15","21","21","29","33","36","48","62","69","49",
"동선동","저소득노인","계","","","","","","35","16","40","46","46","53","41","30","13","24","27",
"동선동","저소득노인","65~79세","","","","","","21","12","23","28","24","39","19","17","8","14","15",
"동선동","저소득노인","80세 이상","","","","","","14","4","17","18","22","14","22","13","5","10","12",
"동선동","일   반","계","","","","","","474","396","389","391","505","389","491","501","401","432","684",
"동선동","일   반","65~79세","","","","","","368","314","313","310","381","291","364","368","285","302","455",
"동선동","일   반","80세 이상","","","","","","106","82","76","81","124","98","127","133","116","130","229",
"돈암1동","합계","계","","","","","","485","451","472","501","611","569","627","679","713","744","1122",
"돈암1동","합계","65~79세","","","","","","377","366","372","391","449","430","465","486","499","524","747",
"돈암1동","합계","80세 이상","","","","","","108","85","100","110","162","139","162","193","214","220","375",
"돈암1동","국민기초생활보장 수급권자","계","","","","","","86","71","89","96","116","154","185","221","370","391","282",
"돈암1동","국민기초생활보장 수급권자","65~79세","","","","","","62","57","66","74","89","105","125","146","234","243","179",
"돈암1동","국민기초생활보장 수급권자","80세 이상","","","","","","24","14","23","22","27","49","60","75","136","148","103",
"돈암1동","저소득노인","계","","","","","","27","16","22","30","36","54","38","31","14","30","57",
"돈암1동","저소득노인","65~79세","","","","","","17","12","16","23","27","39","28","18","9","13","23",
"돈암1동","저소득노인","80세 이상","","","","","","10","4","6","7","9","15","10","13","5","17","34",
"돈암1동","일   반","계","","","","","","372","364","361","375","459","361","404","427","329","323","783",
"돈암1동","일   반","65~79세","","","","","","298","297","290","294","333","286","312","322","256","268","545",
"돈암1동","일   반","80세 이상","","","","","","74","67","71","81","126","75","92","105","73","55","238",
"돈암2동","합계","계","","","","","","408","390","400","447","501","497","563","574","595","629","867",
"돈암2동","합계","65~79세","","","","","","318","297","293","321","340","343","387","383","385","398","549",
"돈암2동","합계","80세 이상","","","","","","90","93","107","126","161","154","176","191","210","231","318",
"돈암2동","국민기초생활보장 수급권자","계","","","","","","72","70","73","72","92","107","125","138","198","211","174",
"돈암2동","국민기초생활보장 수급권자","65~79세","","","","","","53","53","55","50","57","63","74","77","122","131","100",
"돈암2동","국민기초생활보장 수급권자","80세 이상","","","","","","19","17","18","22","35","44","51","61","76","80","74",
"돈암2동","저소득노인","계","","","","","","21","11","22","25","30","30","23","15","16","22","27",
"돈암2동","저소득노인","65~79세","","","","","","8","7","10","11","13","16","14","10","9","15","17",
"돈암2동","저소득노인","80세 이상","","","","","","13","4","12","14","17","14","9","5","7","7","10",
"돈암2동","일   반","계","","","","","","315","309","305","350","379","360","415","421","381","396","666",
"돈암2동","일   반","65~79세","","","","","","257","237","228","260","270","264","299","296","254","252","432",
"돈암2동","일   반","80세 이상","","","","","","58","72","77","90","109","96","116","125","127","144","234",
"안암동","합계","계","","","","","","502","485","497","514","603","580","620","621","617","650","875",
"안암동","합계","65~79세","","","","","","395","374","368","382","431","426","437","436","413","438","585",
"안암동","합계","80세 이상","","","","","","107","111","129","132","172","154","183","185","204","212","290",
"안암동","국민기초생활보장 수급권자","계","","","","","","90","92","93","84","101","117","126","146","179","174","161",
"안암동","국민기초생활보장 수급권자","65~79세","","","","","","72","71","71","60","77","90","100","116","129","124","113",
"안암동","국민기초생활보장 수급권자","80세 이상","","","","","","18","21","22","24","24","27","26","30","50","50","48",
"안암동","저소득노인","계","","","","","","30","14","24","28","28","45","39","24","18","26","37",
"안암동","저소득노인","65~79세","","","","","","17","9","14","17","18","34","19","9","5","14","16",
"안암동","저소득노인","80세 이상","","","","","","13","5","10","11","10","11","20","15","13","12","21",
"안암동","일   반","계","","","","","","382","379","380","402","474","418","455","451","420","450","677",
"안암동","일   반","65~79세","","","","","","306","294","283","305","336","302","318","311","279","300","456",
"안암동","일   반","80세 이상","","","","","","76","85","97","97","138","116","137","140","141","150","221",
"보문동","합계","계","","","","","","562","512","539","570","676","597","665","705","715","773","1043",
"보문동","합계","65~79세","","","","","","430","393","405","412","474","440","487","510","527","561","722",
"보문동","합계","80세 이상","","","","","","132","119","134","158","202","157","178","195","188","212","321",
"보문동","국민기초생활보장 수급권자","계","","","","","","105","98","98","96","112","126","138","143","200","225","186",
"보문동","국민기초생활보장 수급권자","65~79세","","","","","","80","73","73","65","74","77","92","94","138","154","124",
"보문동","국민기초생활보장 수급권자","80세 이상","","","","","","25","25","25","31","38","49","46","49","62","71","62",
"보문동","저소득노인","계","","","","","","27","20","32","33","32","48","33","34","19","32","58",
"보문동","저소득노인","65~79세","","","","","","18","15","22","22","21","35","16","16","10","18","29",
"보문동","저소득노인","80세 이상","","","","","","9","5","10","11","11","13","17","18","9","14","29",
"보문동","일   반","계","","","","","","430","394","409","441","532","423","494","528","496","516","799",
"보문동","일   반","65~79세","","","","","","332","305","310","325","379","328","379","400","379","389","569",
"보문동","일   반","80세 이상","","","","","","98","89","99","116","153","95","115","128","117","127","230",
"정능1동","합계","계","","","","","","490","452","472","502","580","553","624","637","629","661","946",
"정능1동","합계","65~79세","","","","","","387","356","367","394","437","424","476","462","452","465","643",
"정능1동","합계","80세 이상","","","","","","103","96","105","108","143","129","148","175","177","196","303",
"정능1동","국민기초생활보장 수급권자","계","","","","","","78","72","65","74","81","111","127","146","205","222","190",
"정능1동","국민기초생활보장 수급권자","65~79세","","","","","","53","56","41","54","57","74","84","99","131","145","119",
"정능1동","국민기초생활보장 수급권자","80세 이상","","","","","","25","16","24","20","24","37","43","47","74","77","71",
"정능1동","저소득노인","계","","","","","","14","9","14","18","28","32","18","23","10","27","47",
"정능1동","저소득노인","65~79세","","","","","","8","7","8","9","16","18","9","14","5","19","26",
"정능1동","저소득노인","80세 이상","","","","","","6","2","6","9","12","14","9","9","5","8","21",
"정능1동","일   반","계","","","","","","398","371","393","410","471","410","479","468","414","412","709",
"정능1동","일   반","65~79세","","","","","","326","293","318","331","364","332","383","349","316","301","498",
"정능1동","일   반","80세 이상","","","","","","72","78","75","79","107","78","96","119","98","111","211",
"정능2동","합계","계","","","","","","763","754","791","783","912","877","940","998","987","1078","1457",
"정능2동","합계","65~79세","","","","","","614","598","600","607","689","674","720","742","697","747","967",
"정능2동","합계","80세 이상","","","","","","149","156","191","176","223","203","220","256","290","331","490",
"정능2동","국민기초생활보장 수급권자","계","","","","","","131","120","127","123","148","170","173","196","288","320","262",
"정능2동","국민기초생활보장 수급권자","65~79세","","","","","","98","95","95","92","101","115","121","132","192","215","170",
"정능2동","국민기초생활보장 수급권자","80세 이상","","","","","","33","25","32","31","47","55","52","64","96","105","92",
"정능2동","저소득노인","계","","","","","","42","20","45","42","49","54","56","42","15","66","61",
"정능2동","저소득노인","65~79세","","","","","","23","16","23","20","36","47","37","26","10","43","27",
"정능2동","저소득노인","80세 이상","","","","","","19","4","22","22","13","7","19","16","5","23","34",
"정능2동","일   반","계","","","","","","590","614","619","618","715","653","711","760","684","692","1134",
"정능2동","일   반","65~79세","","","","","","493","487","482","495","552","512","562","584","495","489","770",
"정능2동","일   반","80세 이상","","","","","","97","127","137","123","163","141","149","176","189","203","364",
"정능3동","합계","계","","","","","","817","764","777","788","914","861","914","974","973","1012","1292",
"정능3동","합계","65~79세","","","","","","623","582","581","583","647","619","643","683","667","693","811",
"정능3동","합계","80세 이상","","","","","","194","182","196","205","267","242","271","291","306","319","481",
"정능3동","국민기초생활보장 수급권자","계","","","","","","165","157","168","166","188","221","236","259","373","428","274",
"정능3동","국민기초생활보장 수급권자","65~79세","","","","","","123","119","128","119","132","141","153","153","226","263","154",
"정능3동","국민기초생활보장 수급권자","80세 이상","","","","","","42","38","40","47","56","80","83","106","147","165","120",
"정능3동","저소득노인","계","","","","","","44","28","45","54","53","61","65","51","18","83","57",
"정능3동","저소득노인","65~79세","","","","","","24","21","26","31","33","46","39","26","11","36","28",
"정능3동","저소득노인","80세 이상","","","","","","20","7","19","23","20","15","26","25","7","47","29",
"정능3동","일   반","계","","","","","","608","579","564","568","673","579","613","664","582","501","961",
"정능3동","일   반","65~79세","","","","","","476","442","427","433","482","432","451","504","430","394","629",
"정능3동","일   반","80세 이상","","","","","","132","137","137","135","191","147","162","160","152","107","332",
"정능4동","합계","계","","","","","","879","806","830","903","1076","1006","1101","1161","1203","1281","1779",
"정능4동","합계","65~79세","","","","","","700","653","661","722","827","768","834","846","869","921","1233",
"정능4동","합계","80세 이상","","","","","","179","153","169","181","249","238","267","315","334","360","546",
"정능4동","국민기초생활보장 수급권자","계","","","","","","114","118","124","139","161","207","223","256","376","399","335",
"정능4동","국민기초생활보장 수급권자","65~79세","","","","","","87","95","94","107","117","142","145","165","250","260","227",
"정능4동","국민기초생활보장 수급권자","80세 이상","","","","","","27","23","30","32","44","65","78","91","126","139","108",
"정능4동","저소득노인","계","","","","","","42","27","39","39","41","55","42","46","17","104","84",
"정능4동","저소득노인","65~79세","","","","","","28","22","25","26","30","38","27","31","5","64","39",
"정능4동","저소득노인","80세 이상","","","","","","14","5","14","13","11","17","15","15","12","40","45",
"정능4동","일   반","계","","","","","","723","661","667","725","874","744","836","859","810","778","1360",
"정능4동","일   반","65~79세","","","","","","585","536","542","589","680","588","662","650","614","597","967",
"정능4동","일   반","80세 이상","","","","","","138","125","125","136","194","156","174","209","196","181","393",
"길음1동","합계","계","","","","","","645","561","580","636","817","705","822","859","888","935","1359",
"길음1동","합계","65~79세","","","","","","494","453","461","524","616","548","615","638","635","648","883",
"길음1동","합계","80세 이상","","","","","","151","108","119","112","201","157","207","221","253","287","476",
"길음1동","국민기초생활보장 수급권자","계","","","","","","106","97","103","112","130","141","169","217","344","377","303",
"길음1동","국민기초생활보장 수급권자","65~79세","","","","","","76","77","80","90","93","98","122","147","231","241","183",
"길음1동","국민기초생활보장 수급권자","80세 이상","","","","","","30","20","23","22","37","43","47","70","113","136","120",
"길음1동","저소득노인","계","","","","","","35","28","40","39","43","55","47","42","27","43","69",
"길음1동","저소득노인","65~79세","","","","","","25","22","23","19","19","36","22","22","11","22","34",
"길음1동","저소득노인","80세 이상","","","","","","10","6","17","20","24","19","25","20","16","21","35",
"길음1동","일   반","계","","","","","","504","436","437","485","644","509","606","600","517","515","987",
"길음1동","일   반","65~79세","","","","","","393","354","358","415","504","414","471","469","393","385","666",
"길음1동","일   반","80세 이상","","","","","","111","82","79","70","140","95","135","131","124","130","321",
"길음2동","합계","계","","","","","","663","482","448","431","554","574","584","668","680","706","1021",
"길음2동","합계","65~79세","","","","","","536","395","364","344","419","462","461","522","532","551","751",
"길음2동","합계","80세 이상","","","","","","127","87","84","87","135","112","123","146","148","155","270",
"길음2동","국민기초생활보장 수급권자","계","","","","","","105","112","88","88","102","168","181","194","294","333","245",
"길음2동","국민기초생활보장 수급권자","65~79세","","","","","","78","90","73","64","74","117","131","139","188","223","168",
"길음2동","국민기초생활보장 수급권자","80세 이상","","","","","","27","22","15","24","28","51","50","55","106","110","77",
"길음2동","저소득노인","계","","","","","","26","14","23","26","24","33","23","19","16","37","50",
"길음2동","저소득노인","65~79세","","","","","","21","11","16","13","7","19","12","9","8","26","25",
"길음2동","저소득노인","80세 이상","","","","","","5","3","7","13","17","14","11","10","8","11","25",
"길음2동","일   반","계","","","","","","532","356","337","317","428","373","380","455","370","336","726",
"길음2동","일   반","65~79세","","","","","","437","294","275","267","338","326","318","374","336","302","558",
"길음2동","일   반","80세 이상","","","","","","95","62","62","50","90","47","62","81","34","34","168",
"종암동","합계","계","","","","","","1342","1218","1258","1310","1600","1455","1592","1685","1738","1856","2673",
"종암동","합계","65~79세","","","","","","955","872","870","915","1047","921","1025","1080","1102","1174","1672",
"종암동","합계","80세 이상","","","","","","387","346","388","395","553","534","567","605","636","682","1001",
"종암동","국민기초생활보장 수급권자","계","","","","","","209","196","221","226","243","332","378","422","613","677","597",
"종암동","국민기초생활보장 수급권자","65~79세","","","","","","161","139","171","174","171","218","245","271","379","426","389",
"종암동","국민기초생활보장 수급권자","80세 이상","","","","","","48","57","50","52","72","114","133","151","234","251","208",
"종암동","저소득노인","계","","","","","","60","41","66","72","69","84","69","64","19","78","120",
"종암동","저소득노인","65~79세","","","","","","32","29","37","43","47","66","35","34","10","46","40",
"종암동","저소득노인","80세 이상","","","","","","28","12","29","29","22","18","34","30","9","32","80",
"종암동","일   반","계","","","","","","1073","981","971","1012","1288","1039","1145","1199","1106","1101","1956",
"종암동","일   반","65~79세","","","","","","762","704","662","698","829","637","745","775","713","702","1243",
"종암동","일   반","80세 이상","","","","","","311","277","309","314","459","402","400","424","393","399","713",
"월곡1동","합계","계","","","","","","850","759","795","834","1003","927","1005","1079","1118","1211","1800",
"월곡1동","합계","65~79세","","","","","","673","615","626","661","754","705","759","791","810","860","1242",
"월곡1동","합계","80세 이상","","","","","","177","144","169","173","249","222","246","288","308","351","558",
"월곡1동","국민기초생활보장 수급권자","계","","","","","","156","143","151","163","189","246","271","315","466","517","427",
"월곡1동","국민기초생활보장 수급권자","65~79세","","","","","","117","116","109","116","120","158","168","195","296","327","283",
"월곡1동","국민기초생활보장 수급권자","80세 이상","","","","","","39","27","42","47","69","88","103","120","170","190","144",
"월곡1동","저소득노인","계","","","","","","47","32","40","53","60","66","36","28","15","52","80",
"월곡1동","저소득노인","65~79세","","","","","","30","26","21","29","41","51","25","19","9","35","34",
"월곡1동","저소득노인","80세 이상","","","","","","17","6","19","24","19","15","11","9","6","17","46",
"월곡1동","일   반","계","","","","","","647","584","604","618","754","615","698","736","637","642","1293",
"월곡1동","일   반","65~79세","","","","","","526","473","496","516","593","496","566","577","505","498","925",
"월곡1동","일   반","80세 이상","","","","","","121","111","108","102","161","119","132","159","132","144","368",
"월곡2동","합계","계","","","","","","622","576","596","632","734","747","867","890","895","948","1395",
"월곡2동","합계","65~79세","","","","","","491","445","456","489","550","546","631","640","621","653","924",
"월곡2동","합계","80세 이상","","","","","","131","131","140","143","184","201","236","250","274","295","471",
"월곡2동","국민기초생활보장 수급권자","계","","","","","","167","122","123","134","158","193","215","255","353","381","322",
"월곡2동","국민기초생활보장 수급권자","65~79세","","","","","","99","94","81","93","111","140","154","179","225","246","208",
"월곡2동","국민기초생활보장 수급권자","80세 이상","","","","","","68","28","42","41","47","53","61","76","128","135","114",
"월곡2동","저소득노인","계","","","","","","35","25","38","45","40","48","34","37","17","70","79",
"월곡2동","저소득노인","65~79세","","","","","","21","19","22","31","28","36","19","23","7","44","30",
"월곡2동","저소득노인","80세 이상","","","","","","14","6","16","14","12","12","15","14","10","26","49",
"월곡2동","일   반","계","","","","","","420","429","435","453","536","506","618","598","525","497","994",
"월곡2동","일   반","65~79세","","","","","","371","332","353","365","411","370","458","438","389","363","686",
"월곡2동","일   반","80세 이상","","","","","","49","97","82","88","125","136","160","160","136","134","308",
"장위1동","합계","계","","","","","","782","738","702","754","921","866","991","1058","1141","1226","1892",
"장위1동","합계","65~79세","","","","","","631","615","568","611","711","673","762","813","861","934","1395",
"장위1동","합계","80세 이상","","","","","","151","123","134","143","210","193","229","245","280","292","497",
"장위1동","국민기초생활보장 수급권자","계","","","","","","141","137","146","146","180","253","314","356","577","630","486",
"장위1동","국민기초생활보장 수급권자","65~79세","","","","","","110","113","119","116","142","186","222","251","402","446","356",
"장위1동","국민기초생활보장 수급권자","80세 이상","","","","","","31","24","27","30","38","67","92","105","175","184","130",
"장위1동","저소득노인","계","","","","","","50","34","43","49","48","77","56","37","14","74","95",
"장위1동","저소득노인","65~79세","","","","","","34","28","28","31","29","61","31","25","7","48","46",
"장위1동","저소득노인","80세 이상","","","","","","16","6","15","18","19","16","25","12","7","26","49",
"장위1동","일   반","계","","","","","","591","567","513","559","693","536","621","665","550","522","1311",
"장위1동","일   반","65~79세","","","","","","487","474","421","464","540","426","509","537","452","440","993",
"장위1동","일   반","80세 이상","","","","","","104","93","92","95","153","110","112","128","98","82","318",
"장위2동","합계","계","","","","","","826","779","811","723","797","693","753","817","848","922","1379",
"장위2동","합계","65~79세","","","","","","652","636","648","568","579","520","558","591","607","652","939",
"장위2동","합계","80세 이상","","","","","","174","143","163","155","218","173","195","226","241","270","440",
"장위2동","국민기초생활보장 수급권자","계","","","","","","148","145","168","157","163","205","230","285","414","464","345",
"장위2동","국민기초생활보장 수급권자","65~79세","","","","","","106","117","122","110","118","145","158","180","277","320","225",
"장위2동","국민기초생활보장 수급권자","80세 이상","","","","","","42","28","46","47","45","60","72","105","137","144","120",
"장위2동","저소득노인","계","","","","","","51","30","44","50","40","58","35","26","15","32","62",
"장위2동","저소득노인","65~79세","","","","","","34","24","26","35","24","39","19","14","8","19","22",
"장위2동","저소득노인","80세 이상","","","","","","17","6","18","15","16","19","16","12","7","13","40",
"장위2동","일   반","계","","","","","","627","604","599","516","594","430","488","506","419","426","972",
"장위2동","일   반","65~79세","","","","","","512","495","500","423","437","336","381","397","322","313","692",
"장위2동","일   반","80세 이상","","","","","","115","109","99","93","157","94","107","109","97","113","280",
"장위3동","합계","계","","","","","","514","447","477","425","492","526","437","460","467","522","766",
"장위3동","합계","65~79세","","","","","","409","373","388","346","371","419","340","364","361","397","558",
"장위3동","합계","80세 이상","","","","","","105","74","89","79","121","107","97","96","106","125","208",
"장위3동","국민기초생활보장 수급권자","계","","","","","","86","88","99","97","102","132","148","149","202","230","178",
